Quantity, Color, Address
300, #F0ED1E, [21.507788876931084, 105.75342955365014]
150, #1EF013, [21.55797064606188, 105.882863621629]
1160, #FF1105, [21.615826078145297, 105.75097633660008]
1450, #FF1105, [21.525717270447146, 105.76489683787308]
10, #1EF013, [21.46586175100442, 105.77519548102408]
11, #1EF013, [21.602110105888126, 105.78169171107534]
51, #1EF013, [21.547796114560313, 105.88933908211848]
77, #1EF013, [21.59914695034352, 105.75954337592341]
1000, #FF1105, [21.619443748473138, 105.91059843204111]
402, #F0ED1E, [21.443173790181575, 105.85665111237604]
